Reaction1,Reaction2,objective
ACALD,ACALDt,0.8739215069684307
ACALD,ACKr,0.8739215069684307
ACALD,ACONTa,-1.4895425922624435e-17
ACALD,ACONTb,-1.4895425922624435e-17
ACALD,ACt2r,0.8739215069684309
ACALD,ADK1,0.8739215069684309
ACALD,AKGDH,0.8583074080226881
ACALD,AKGt2r,0.8739215069684304
ACALD,ALCD2x,0.8739215069684304
ACALD,ATPM,0.9166474637510487
ACALD,ATPS4r,0.3742298749331096
ACALD,Biomass_Ecoli_core,0.0
ACALD,CO2t,0.4616696141601378
ACALD,CS,0.0
ACALD,CYTBD,0.1379047797784793
ACALD,D_LACt2,0.8739215069684246
ACALD,ENO,1.2572437313521167e-15
ACALD,ETOHt2r,0.8739215069684272
ACALD,EX_ac_e,0.8739215069684272
ACALD,EX_acald_e,0.8739215069684272
ACALD,EX_akg_e,0.8739215069684272
ACALD,EX_co2_e,0.4616696141601307
ACALD,EX_etoh_e,0.8739215069685007
ACALD,EX_for_e,0.8739215069685007
ACALD,EX_fru_e,0.8739215069685007
ACALD,EX_fum_e,0.8739215069685007
ACALD,EX_glc__D_e,-0.04531208903852051
ACALD,EX_gln__L_e,0.8739215069684885
ACALD,EX_glu__L_e,0.8739215069684885
ACALD,EX_h_e,-1.2055195757818704e-15
ACALD,EX_h2o_e,-7.732115347759027e-14
ACALD,EX_lac__D_e,0.8739215069684794
ACALD,EX_mal__L_e,0.8739215069684794
ACALD,EX_nh4_e,0.0
ACALD,EX_o2_e,0.13790477977847912
ACALD,EX_pi_e,6.291031788886262e-17
ACALD,EX_pyr_e,0.8739215069684335
ACALD,EX_succ_e,0.8739215069684335
ACALD,FBA,0.7040369478590086
ACALD,FBP,0.8739215069684302
ACALD,FORt2,0.8739215069684302
ACALD,FORti,0.8739215069684302
ACALD,FRD7,0.8739215069684302
ACALD,FRUpts2,0.8739215069684302
ACALD,FUM,0.8142975075325302
ACALD,FUMt2_2,0.8739215069684303
ACALD,G6PDH2r,0.8638133095040006
ACALD,GAPD,-3.9400210740842254e-17
ACALD,GLCpts,0.0
ACALD,GLNS,5.455436608685138e-31
ACALD,GLNabc,0.8739215069684286
ACALD,GLUDy,0.8513885233462067
ACALD,GLUN,0.8739215069684296
ACALD,GLUSy,0.8739215069684296
ACALD,GLUt2r,0.8739215069684296
ACALD,GND,0.8638133095040004
ACALD,H2Ot,3.803509487379319e-17
ACALD,ICDHyr,3.803509487379319e-17
ACALD,ICL,0.8739215069684297
ACALD,LDH_D,0.8739215069684297
ACALD,MALS,0.8739215069684297
ACALD,MALt2_2,0.8739215069684297
ACALD,MDH,0.8258192905969886
ACALD,ME1,0.8739215069684292
ACALD,ME2,0.8739215069684292
ACALD,NADH16,0.1379047797784794
ACALD,NADTRHD,0.8739215069684808
ACALD,NH4t,9.053929578045223e-17
ACALD,O2t,0.13790477977847931
ACALD,PDH,0.7966959254309465
ACALD,PFK,0.7040369478590884
ACALD,PFL,0.8739215069684191
ACALD,PGI,0.8631595522083967
ACALD,PGK,1.3992693406363367e-15
ACALD,PGL,0.8638133095039932
ACALD,PGM,5.130753753157528e-15
ACALD,PIt2r,-9.113721222304396e-14
ACALD,PPC,0.8707448062160259
ACALD,PPCK,0.8739215069684318
ACALD,PPS,0.8739215069684318
ACALD,PTAr,0.8739215069684318
ACALD,PYK,0.8649260179498685
ACALD,PYRt2,0.8739215069684318
ACALD,RPE,0.8657155608953034
ACALD,RPI,-9.261291335273342e-16
ACALD,SUCCt2_2,0.8739215069684318
ACALD,SUCCt3,0.8739215069684318
ACALD,SUCDi,0.814297507532532
ACALD,SUCOAS,0.8583074080226908
ACALD,TALA,0.8647591548314788
ACALD,THD2,0.8739215069684327
ACALD,TKT1,0.8647591548314771
ACALD,TKT2,0.8666740848328244
ACALD,TPI,0.7040369478590156
ACALDt,ACALD,0.8739215069684289
ACALDt,ACKr,0.8739215069684289
ACALDt,ACONTa,-1.3905842845755544e-17
ACALDt,ACONTb,1.6325459500917453e-15
ACALDt,ACt2r,0.8739215069684272
ACALDt,ADK1,0.8739215069684272
ACALDt,AKGDH,0.8583074080226885
ACALDt,AKGt2r,0.8739215069684275
ACALDt,ALCD2x,0.8739215069684275
ACALDt,ATPM,0.9166474637510462
ACALDt,ATPS4r,0.37422987493310955
ACALDt,Biomass_Ecoli_core,0.0
ACALDt,CO2t,0.461669614160134
ACALDt,CS,-1.9368558893887855e-15
ACALDt,CYTBD,0.21166294973531083
ACALDt,D_LACt2,0.8739215069684282
ACALDt,ENO,-3.1934233484749827e-15
ACALDt,ETOHt2r,0.8739215069684266
ACALDt,EX_ac_e,0.8739215069684266
ACALDt,EX_acald_e,0.8739215069684266
ACALDt,EX_akg_e,0.8739215069684266
ACALDt,EX_co2_e,0.4616696141601298
ACALDt,EX_etoh_e,0.8739215069684309
ACALDt,EX_for_e,0.8739215069684309
ACALDt,EX_fru_e,0.8739215069684309
ACALDt,EX_fum_e,0.8739215069684309
ACALDt,EX_glc__D_e,-0.04531208903852501
ACALDt,EX_gln__L_e,0.8739215069684309
ACALDt,EX_glu__L_e,0.8739215069684309
ACALDt,EX_h_e,1.3363114554943785e-15
ACALDt,EX_h2o_e,0.3835154492967835
ACALDt,EX_lac__D_e,0.8739215069684427
ACALDt,EX_mal__L_e,0.8739215069684427
ACALDt,EX_nh4_e,3.201476739098534e-17
ACALDt,EX_o2_e,0.21166294973531016
ACALDt,EX_pi_e,-5.291112080137841e-16
ACALDt,EX_pyr_e,0.8739215069684309
ACALDt,EX_succ_e,0.8739215069684309
ACALDt,FBA,0.7040369478590233
ACALDt,FBP,0.8739215069684304
ACALDt,FORt2,0.8739215069684304
ACALDt,FORti,0.8739215069684304
ACALDt,FRD7,0.8739215069684304
ACALDt,FRUpts2,0.8739215069684304
ACALDt,FUM,0.81429750753253
ACALDt,FUMt2_2,0.8739215069684302
ACALDt,G6PDH2r,0.8638133095040015
ACALDt,GAPD,7.06828690490051e-16
ACALDt,GLCpts,0.0
ACALDt,GLNS,-1.3985035732082432e-31
ACALDt,GLNabc,0.8739215069684318
ACALDt,GLUDy,0.8513885233462077
ACALDt,GLUN,0.8739215069684317
ACALDt,GLUSy,0.8739215069684317
ACALDt,GLUt2r,0.8739215069684317
ACALDt,GND,0.8638133095040029
ACALDt,H2Ot,0.3835154492967827
ACALDt,ICDHyr,-1.1318991723060529e-15
ACALDt,ICL,0.8739215069684252
ACALDt,LDH_D,0.8739215069684252
ACALDt,MALS,0.8739215069684252
ACALDt,MALt2_2,0.8739215069684252
ACALDt,MDH,0.8258192905969823
ACALDt,ME1,0.873921506968426
ACALDt,ME2,0.873921506968426
ACALDt,NADH16,0.21166294973531047
ACALDt,NADTRHD,0.8739215069684318
ACALDt,NH4t,4.7632929344982905e-17
ACALDt,O2t,0.21166294973531105
ACALDt,PDH,0.796695925430974
ACALDt,PFK,0.7040369478590461
ACALDt,PFL,0.8739215069684434
ACALDt,PGI,0.8631595522084338
ACALDt,PGK,-1.5961046770187962e-15
ACALDt,PGL,0.8638133095039988
ACALDt,PGM,-1.7704332561693127e-16
ACALDt,PIt2r,-6.463056586358784e-16
ACALDt,PPC,0.8707448062160245
ACALDt,PPCK,0.8739215069684302
ACALDt,PPS,0.8739215069684302
ACALDt,PTAr,0.8739215069684302
ACALDt,PYK,0.8649260179498688
ACALDt,PYRt2,0.87392150696843
ACALDt,RPE,0.8657155608953038
ACALDt,RPI,7.199432378335412e-16
ACALDt,SUCCt2_2,0.8739215069684315
ACALDt,SUCCt3,0.8739215069684315
ACALDt,SUCDi,0.8142975075325309
ACALDt,SUCOAS,0.8583074080226892
ACALDt,TALA,0.8647591548314765
ACALDt,THD2,0.8739215069684303
ACALDt,TKT1,0.8647591548314763
ACALDt,TKT2,0.866674084832823
ACALDt,TPI,0.7040369478590229
ACKr,ACALD,0.8739215069684296
ACKr,ACALDt,0.8739215069684296
ACKr,ACONTa,9.829100456600794e-16
ACKr,ACONTb,9.829100456600794e-16
ACKr,ACt2r,0.8739215069684338
ACKr,ADK1,0.8739215069684338
ACKr,AKGDH,0.8583074080226913
ACKr,AKGt2r,0.8739215069684342
ACKr,ALCD2x,0.8739215069684342
ACKr,ATPM,0.9166474637510517
ACKr,ATPS4r,0.37422987493310955
ACKr,Biomass_Ecoli_core,0.0
ACKr,CO2t,0.3863262050467761
